flight_id,tanggal,latitude,longitude,heading,altitude,aircraft_code,registration,time,callsign,airline_icao,timestamp_difference,Runway
6070,10/1/2022,0.4535,101.4443,2,0,A320,PK-GQN,1664584598,CTV936,CTV,6,36
6435,10/1/2022,0.4547,101.4443,2,0,A320,PK-GQN,1664604253,CTV783,CTV,3,36
7678,10/3/2022,0.4572,101.4444,2,0,A20N,PK-GTK,1664777263,CTV783,CTV,5,36
697,9/27/2022,0.4596,101.4445,2,0,A320,PK-LAL,1664242934,BTK8856,BTK,6,36
4619,9/29/2022,0.4581,101.4444,2,0,A320,PK-LAL,1664457602,BTK6850,BTK,5,36
7352,10/3/2022,0.4605,101.4445,2,0,A320,PK-LAO,1664760587,BTK8856,BTK,6,36
5911,10/1/2022,0.4537,101.4443,2,0,B738,PK-LBS,1664582538,BTK6856,BTK,8,36
6214,10/1/2022,0.4535,101.4443,1,0,B738,PK-LBS,1664599955,BTK6852,BTK,4,36
6660,10/1/2022,0.4517,101.4443,2,0,B738,PK-LBS,1664618226,BTK6848,BTK,6,36
3995,9/29/2022,0.4548,101.4443,2,0,B738,PK-LDH,1664437385,BTK6854,BTK,6,36
2899,9/28/2022,0.4546,101.4444,2,0,B738,PK-LDI,1664359018,BTK6848,BTK,4,36
4346,9/29/2022,0.4641,101.4446,182,0,B738,PK-LDP,1664447022,BTK6848,BTK,6,18
